,sepal length,sepal width,petal length,petal width,label
0,6.1,2.8,4.0,1.3,Iris-versicolor
1,6.0,2.2,5.0,1.5,Iris-virginica
2,4.7,3.2,1.6,0.2,Iris-setosa
3,6.3,3.3,6.0,2.5,Iris-Virginica
4,5.3,3.7,1.5,0.2,Iris-setosa
5,5.2,4.1,1.5,0.1,Setosa
6,5.2,3.5,1.5,0.2,Iris setosa
7,7.4,2.8,6.1,1.9,Iris-virginica
8,6.0,3.0,4.8,1.8,Iris-virginica
9,6.8,2.8,4.8,1.4,Iris versicolor
10,4.5,2.3,1.3,0.3,Iris-setosa
11,5.0,2.0,3.5,1.0,Iris-versicolour
12,4.6,3.1,1.5,0.2,Iris-setosa
13,5.7,2.6,3.5,1.0,Iris-versicolor
14,5.6,3.0,4.1,1.3,Iris-versicolor
15,5.4,3.4,1.7,0.2,Iris setosa
16,5.6,2.8,4.9,2.0,Iris Virginica
17,5.5,2.4,3.7,1.0,Iris_versicolor
18,5.1,3.8,1.5,0.3,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-Setosa
